City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Kavieng,PG,81.25,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
9,Carnarvon,AU,80.67,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
10,Kloulklubed,PW,82.33,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
11,Rikitea,PF,78.67,light rain,-23.1203,-134.9692,People ThankYou
12,Bethlehem,BR,75.24,thunderstorm with rain,-1.4558,-48.5044,Mercure Belém Boulevard
13,Butaritari,KI,80.96,light rain,3.0707,172.7902,Isles Sunset Lodge
17,Atuona,PF,78.26,clear sky,-9.8,-139.0333,Villa Enata
19,East London,ZA,72.54,few clouds,-33.0153,27.9116,Tu Casa
20,Santa Cruz,BO,93.25,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
21,Rajura,IN,68.85,clear sky,19.7833,79.3667,Bharat Lodge And Restaurant
27,Tarata,BO,72.82,broken clouds,-17.6167,-66.0167,Hacienda castillo
30,Cape Town,ZA,69.1,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
35,Esperance,AU,73.24,few clouds,-33.8667,121.9,Hospitality Esperance
36,Dingle,PH,76.23,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
40,Saldanha,ZA,68.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
42,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
43,Vaini,TO,81.37,overcast clouds,-21.2,-175.2,Keleti Beach Resort
44,Arraial Do Cabo,BR,71.46,light intensity drizzle,-22.9661,-42.0278,Pousada Porto Praia
47,Hilo,US,75.25,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
54,Tual,ID,80.28,light rain,-5.6667,132.75,Grand Vilia Hotel
57,Boke,GN,82.45,clear sky,10.9409,-14.2967,Hôtel Rio Nunez - Boké
58,Hithadhoo,MV,81.75,light rain,-0.6,73.0833,Scoop Guest House
59,Cabo San Lucas,MX,82.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
61,Quatre Cocos,MU,78.91,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
63,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
64,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
65,Praia,CV,81.14,overcast clouds,14.9215,-23.5087,LT Aparthotel
67,Port Elizabeth,ZA,68.29,broken clouds,-33.918,25.5701,39 On Nile Guest House
71,Lorengau,PG,80.2,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
73,Kapaa,US,75.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
79,Kavaratti,IN,79.23,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
80,Chuy,UY,77.9,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
82,Bubaque,GW,79.65,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
83,Tomatlan,MX,87.04,clear sky,19.9333,-105.25,El Salvial
85,Bambous Virieux,MU,79.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
89,Cidreira,BR,76.5,clear sky,-30.1811,-50.2056,Hotel Castelo
91,Dicabisagan,PH,74.37,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
94,Diamantino,BR,80.13,overcast clouds,-14.4086,-56.4461,Hotel Delta
98,Riachao Do Jacuipe,BR,90.39,scattered clouds,-11.8069,-39.3856,Riachão Palace Hotel
100,Danielskuil,ZA,73.76,clear sky,-28.1887,23.5395,Botha'Sig Gastehuis
102,Dom Pedrito,BR,93.6,clear sky,-30.9828,-54.6731,Hotel Alexandre
103,Piracuruca,BR,79.92,overcast clouds,-3.9281,-41.7092,Pousada Piracuruca
107,Bell Ville,AR,93.67,clear sky,-32.6259,-62.6887,Hotel Central
112,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
116,Saint-Pierre,RE,76.68,broken clouds,-21.3393,55.4781,Lindsey Hôtel
118,Kieta,PG,78.75,light rain,-6.2167,155.6333,Uruna Bay Retreat
119,Faanui,PF,81.21,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
122,Half Moon Bay,US,75.9,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
125,Fare,PF,81.46,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
