City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,49.62,76,75,29.93,broken clouds
1,Mataura,NZ,-46.1927,168.8643,57.47,95,100,2.71,overcast clouds
2,Flin Flon,CA,54.7682,-101.865,6.64,66,100,10.36,light snow
3,Hermanus,ZA,-34.4187,19.2345,65.89,76,0,4.81,clear sky
4,Punta Arenas,CL,-53.15,-70.9167,51.82,53,40,32.21,scattered clouds
5,Cherskiy,RU,68.75,161.3,-35.79,99,100,6.53,overcast clouds
6,Thompson,CA,55.7435,-97.8558,-7.44,71,100,16.11,overcast clouds
7,Jamestown,US,42.097,-79.2353,37.09,65,100,12.66,mist
8,Kavieng,PG,-2.5744,150.7967,81.25,79,98,7.96,overcast clouds
9,Carnarvon,AU,-24.8667,113.6333,80.67,74,75,10.36,broken clouds
10,Kloulklubed,PW,7.0419,134.2556,82.33,75,100,11.72,overcast clouds
11,Rikitea,PF,-23.1203,-134.9692,78.67,74,89,20.02,light rain
12,Bethlehem,BR,-1.4558,-48.5044,75.24,94,75,12.66,thunderstorm with rain
13,Butaritari,KI,3.0707,172.7902,80.96,79,18,16.75,light rain
14,Ulaanbaatar,MN,47.9077,106.8832,-18.27,76,0,2.24,clear sky
15,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,76,100,6.91,light snow
16,Nantucket,US,41.2835,-70.0995,52.14,78,6,19.1,clear sky
17,Atuona,PF,-9.8,-139.0333,78.26,73,0,17.31,clear sky
18,Fairlie,GB,55.756,-4.8556,40.91,83,0,14.97,clear sky
19,East London,ZA,-33.0153,27.9116,72.54,88,20,3.44,few clouds
20,Santa Cruz,BO,-17.8,-63.1667,93.25,40,40,12.66,scattered clouds
21,Rajura,IN,19.7833,79.3667,68.85,43,6,3.96,clear sky
22,Barrow,US,71.2906,-156.7887,-27.58,99,97,8.84,overcast clouds
23,Vanderhoof,CA,54.0166,-124.0198,41.31,69,100,15.95,overcast clouds
24,Dawlatabad,AF,36.4141,64.9053,48.97,51,100,3.67,overcast clouds
25,Dongsheng,CN,39.8161,109.9776,23.76,50,100,5.32,overcast clouds
26,Helong,CN,42.5397,128.9972,18.18,89,100,4.5,overcast clouds
27,Tarata,BO,-17.6167,-66.0167,72.82,39,52,6.49,broken clouds
28,Guilin,CN,25.2819,110.2864,41.11,91,100,3.69,overcast clouds
29,Ulladulla,AU,-35.35,150.4667,67.1,89,100,9.13,light rain
30,Cape Town,ZA,-33.9258,18.4232,69.1,55,0,10.36,clear sky
31,Meadow Lake,US,34.8014,-106.5436,52.61,31,1,5.97,clear sky
32,Albany,US,42.6001,-73.9662,44.8,68,29,1.99,scattered clouds
33,Hamilton,US,39.1834,-84.5333,46.65,59,65,8.01,broken clouds
34,Erzurum,TR,40.0,41.5,28.08,85,100,5.61,overcast clouds
35,Esperance,AU,-33.8667,121.9,73.24,49,17,21.56,few clouds
36,Dingle,PH,10.9995,122.6711,76.23,81,100,9.44,overcast clouds
37,Torbay,CA,47.6666,-52.7314,42.89,76,20,4.0,few clouds
38,Naze,JP,28.3667,129.4833,55.0,66,65,10.0,broken clouds
39,Codrington,AU,-38.2667,141.9667,56.66,82,29,8.23,scattered clouds
40,Saldanha,ZA,-33.0117,17.9442,68.05,80,0,11.18,clear sky
41,Yellowknife,CA,62.456,-114.3525,-9.58,82,75,13.8,broken clouds
42,Puerto Ayora,EC,-0.7393,-90.3518,82.36,82,93,5.99,overcast clouds
43,Vaini,TO,-21.2,-175.2,81.37,80,100,22.41,overcast clouds
44,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,94,100,6.91,light intensity drizzle
